Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
UC07_TR05_Exit,4,50,49,52,1.09,0.000%,.01962,0.35,0.02,18429.0
UC07_User_check_in,4,1029,961,1114,57.43,0.000%,.01950,46.98,0.09,2466876.0
UC08_TR01_OpenMainPage,4,23,23,24,0.43,0.000%,.01962,0.01,0.01,509.0
UC08_TR02_Login,4,284,268,306,13.66,0.000%,.01960,54.03,0.03,2823151.2
UC08_TR03_Generate,4,34,33,37,1.79,0.000%,.01962,0.00,0.00,25.2
/house/2780/evict/95-241,4,23,23,24,0.43,0.000%,.01962,0.01,0.01,551.0
/house/2780/evict/95-242,4,27,27,28,0.50,0.000%,.01962,0.01,0.01,636.5
UC08_TR04_EvictHouse,4,50,50,51,0.43,0.000%,.01962,0.02,0.02,1187.5
UC08_TR05_Exit,4,50,50,51,0.43,0.000%,.01962,0.35,0.02,18429.0
UC08_User_evic,4,443,428,468,14.80,0.000%,.01958,54.37,0.08,2843302.0
Debug Sampler,4,122,115,131,5.67,0.000%,.01962,53.70,0.00,2803189.5
TOTAL,512,161,0,2094,302.96,2.344%,2.43147,1163.37,2.17,489948.1
